Time,Wednesday - 10/04,Time,Wednesday - 10/11,Time,Thursday - 10/12,Time,Friday - 10/13,Time,Saturday - 10/14
5:00 AM - 6:00 AM,Arrive at UTA for drive to airport,5:00 AM - 6:00 AM,Arrive at UTA for drive to airport,8:00:00 AM - 9:00 AM,Get ready/Take Transit to GCC,7:00:00 AM - 8:00 AM,Wake Up/Dress,8:00:00 AM - 10:00 AM,Prep/Breakfast/Dress/Pack Up
6:00 AM - 7:00 AM,Security Check / FInd Terminal,6:00 AM - 7:00 AM,Security Check / FInd Terminal,9:00 AM - 1:00 PM,"Activity
(Georgia Aquarium x UTD
x UNT)",8:00:00 AM - 10:00 AM,Welcome/Morning Session,10:00:00 AM - 1:00 PM,Career Fair
7:00 AM - 11:00 AM,Flight to Atlanta,7:00 AM - 11:00 AM,Flight to Atlanta,1:00 PM - 3:00 PM,"Lunch (Krog Street)
End everything by 3pm",10:00:00 AM - 6:00 PM,"Workshop/Panels

Lunch is on your own time
CNN Foodcourt",1:00:00 PM - 2:00 PM,Career Fair + Lunch
11:00 AM - 12:00 PM,Take transit to Peachtree Station,11:00 AM - 12:00 PM,Take transit to Peachtree Station,3:00 PM - 4:00 PM,Move back to Airbnb/,6:00:00 PM - 7:00 PM,Closing Ceremony,2:00:00 PM - 4:30 PM,Career Fair + Collegiate Leadership Workshop
12:00 PM - 2:00 PM,"Drop stuff at Bounce Luggage
Lunch at Peachtree Center",12:00 PM - 2:00 PM,"Drop stuff at Bounce Luggage
Lunch at Peachtree Center",4:00:00 PM - 5:00 PM,Transit to GWCC Center,7:00:00 PM - 8:00 PM,Dinner,4:30 PM - 6:00 PM,Transit to Airport
2:00 PM - 4:00 PM,"Activity
(World of Coca Cola Museum)",2:00 PM - 4:00 PM,"Activity
(World of Coca Cola Museum)",5:00:00 PM - 6:00 PM,NC Collegiate Opening Reception,8:00:00 PM - 9:00 PM,Hospitality Suites,6:00:00 PM - 9:00 PM,Flight back to Dallas
4:00:00 PM - 5:00 PM,Pick stuff up back at Bag Drop,4:00:00 PM - 5:00 PM,Pick stuff up back at Bag Drop,6:00:00 PM - 9:00 PM,"Regional Networking,
Karaoke,
Dance Workshop
SASE Hack",9:00:00 PM - 10:00 PM,Transit from GWCC to Vine ,,
5:00:00 PM - 6:00 PM,Transit back to airbnb,5:00:00 PM - 6:00 PM,Transit back to airbnb,9:00:00 PM - 11:00 PM,"Hospitality Suites/
Dinner",10:00:00 PM - 11:00 PM,Rest,,
6:00:00 PM - 7:00 PM,1hr Rest,6:00:00 PM - 7:00 PM,1hr Rest,11:00:00 PM - 12:00 AM,Return to Airbnb/Rest,,,,
7:00:00 PM - 8:00 PM,"Dinner w the External Chapters
(Maybe)",7:00:00 PM - 8:00 PM,"Dinner w the External Chapters
(Maybe)",,,,,,
1:00 AM - 2:00 AM,Boop Bop Beep,,,,,,,,
2:00 AM - 3:00 AM,hihihi,,,,,,,,