Time,Wednesday - 10/11,Time,Friday - 10/13,Time,Saturday - 10/14,Time,Thursday - 10/12,Time,Wednesday - 10/04
5:00 AM - 6:00 AM,Arrive at UTA for drive to airport,7:00:00 AM - 8:00 AM,Wake Up/Dress,8:00:00 AM - 10:00 AM,Prep/Breakfast/Dress/Pack Up,8:00:00 AM - 9:00 AM,Get ready/Take Transit to GCC,5:00 AM - 6:00 AM,Arrive at UTA for drive to airport
6:00 AM - 7:00 AM,Security Check / FInd Terminal,8:00:00 AM - 10:00 AM,Welcome/Morning Session,10:00:00 AM - 1:00 PM,Career Fair,9:00 AM - 1:00 PM,"Activity
(Georgia Aquarium x UTD
x UNT)",6:00 AM - 7:00 AM,Security Check / FInd Terminal
7:00 AM - 11:00 AM,Flight to Atlanta,10:00:00 AM - 6:00 PM,"Workshop/Panels

Lunch is on your own time
CNN Foodcourt",1:00:00 PM - 2:00 PM,Career Fair + Lunch,1:00 PM - 3:00 PM,"Lunch (Krog Street)
End everything by 3pm",7:00 AM - 11:00 AM,Flight to Atlanta
11:00 AM - 12:00 PM,Take transit to Peachtree Station,6:00:00 PM - 7:00 PM,Closing Ceremony,2:00:00 PM - 4:30 PM,Career Fair + Collegiate Leadership Workshop,3:00 PM - 4:00 PM,Move back to Airbnb/,11:00 AM - 12:00 PM,Take transit to Peachtree Station
12:00 PM - 2:00 PM,"Drop stuff at Bounce Luggage
Lunch at Peachtree Center",7:00:00 PM - 8:00 PM,Dinner,4:30 PM - 6:00 PM,Transit to Airport,4:00:00 PM - 5:00 PM,Transit to GWCC Center,12:00 PM - 2:00 PM,"Drop stuff at Bounce Luggage
Lunch at Peachtree Center"
2:00 PM - 4:00 PM,"Activity
(World of Coca Cola Museum)",8:00:00 PM - 9:00 PM,Hospitality Suites,6:00:00 PM - 9:00 PM,Flight back to Dallas,5:00:00 PM - 6:00 PM,NC Collegiate Opening Reception,2:00 PM - 4:00 PM,"Activity
(World of Coca Cola Museum)"
4:00:00 PM - 5:00 PM,Pick stuff up back at Bag Drop,9:00:00 PM - 10:00 PM,Transit from GWCC to Vine ,,,6:00:00 PM - 9:00 PM,"Regional Networking,
Karaoke,
Dance Workshop
SASE Hack",4:00:00 PM - 5:00 PM,Pick stuff up back at Bag Drop
5:00:00 PM - 6:00 PM,Transit back to airbnb,10:00:00 PM - 11:00 PM,Rest,,,9:00:00 PM - 11:00 PM,"Hospitality Suites/
Dinner",5:00:00 PM - 6:00 PM,Transit back to airbnb
6:00:00 PM - 7:00 PM,1hr Rest,,,,,11:00:00 PM - 12:00 AM,Return to Airbnb/Rest,6:00:00 PM - 7:00 PM,1hr Rest
7:00:00 PM - 8:00 PM,"Dinner w the External Chapters
(Maybe)",,,,,,,7:00:00 PM - 8:00 PM,"Dinner w the External Chapters
(Maybe)"
,,,,,,,,1:00 AM - 2:00 AM,Boop Bop Beep
,,,,,,,,2:00 AM - 3:00 AM,hihihi